size_mb,num_messages,raw_bytes,idx_bytes,write_ms,total_records,idx_full_read_ms,target_did,match_count,search_via_idx_ms,search_via_raw_ms
0.25,3054,262159,31432,15.993,1307,0.151,3,1088,0.0038,14.7774
0.50,6090,524736,62680,21.472,2609,0.309,3,2173,0.0072,28.6183
1.00,12222,1048660,125800,41.191,5239,0.687,3,4367,0.0138,58.2323
2.00,24178,2097685,248728,77.209,10361,1.286,3,8633,0.0273,105.5848
3.00,36314,3145813,373624,115.402,15565,1.998,3,12972,0.0399,164.2096
4.00,48212,4194637,495952,156.202,20662,2.734,3,17218,0.0567,207.2961
6.00,71882,6292259,739448,229.331,30805,3.867,3,25670,0.0796,313.4831
8.00,95704,8390705,984512,300.021,41016,5.206,3,34180,0.1018,425.0854
12.00,142270,12583014,1463592,457.575,60975,8.188,3,50814,0.1779,647.9589
16.00,188160,16777337,1935616,614.287,80640,12.444,3,67200,0.2092,853.3544
24.00,278010,25165841,2859800,918.764,119145,16.784,3,99286,0.3258,1277.3798
32.00,374752,33554483,3855040,1220.492,160608,24.500,3,133840,0.4414,1722.1316
48.00,562856,50333292,5790016,1869.038,241224,39.623,3,201020,0.6964,2567.4840
64.00,757512,67110712,7792384,2503.110,324648,56.500,3,270540,1.1701,3502.1324
96.00,1132208,100663567,11646784,3742.014,485232,111.035,3,404360,2.1502,5186.3869
128.00,1506086,134217899,15492872,5020.189,645467,158.890,3,537890,2.8197,6945.8626
